Papeleria La Grandiosa
Reporte anual de ventas 2019

Fecha	Cuenta	Depto	Suma	
01/12/2019	61510	150	-$24.28	
01/12/2019	61520	150	-$167.00	
01/12/2019	61530	150	-$13.64	
01/12/2019	61540	150	-$1.01	
01/12/2019	61550	150	-$68.06	
01/12/2019	61560	150	-$1.76	
01/12/2019	61570	150	-$139.73	
01/12/2019	62010	150	-$312.22	
01/12/2019	62020	150	-$265.60	
01/12/2019	62099	150	$20.25	
01/12/2019	62510	120	-$77.64	
01/12/2019	62520	120	-$80.87	
01/12/2019	62530	120	$3.00	
01/12/2019	62550	120	-$17.05	
01/12/2019	62560	120	-$1.60	
01/12/2019	63050	150	-$11.96	
01/12/2019	64000	150	$198.78	
01/12/2019	64010	150	$2.07	
01/12/2019	64020	150	$0.91	
01/12/2019	65540	110	-$79.63	
01/12/2019	65550	110	-$34.25	
01/12/2019	65590	110	-$6.66	
01/12/2019	65600	110	-$13.23	
01/12/2019	65610	110	-$28.96	
01/12/2019	65650	110	-$2.13	
01/12/2019	65690	110	-$34.80	
01/12/2019	65700	110	-$65.98	
01/12/2019	65710	110	-$569.01	
01/12/2019	65730	110	-$0.92	
01/12/2019	65740	110	-$476.80	
01/12/2019	65750	110	-$599.04	
01/12/2019	65760	110	-$6.92	
01/12/2019	66010	130	-$2.23	
01/12/2019	66020	130	-$29.99	
01/12/2019	66040	130	-$8.75	
01/12/2019	66050	130	-$44.98	
01/12/2019	66070	130	-$0.31	
01/12/2019	66080	130	-$2.23	
01/12/2019	66100	130	-$4.87	
01/12/2019	66110	130	-$0.46	
01/12/2019	66120	130	-$1.71	
01/12/2019	66130	130	-$69.42	
01/12/2019	66140	130	$12.56	
01/12/2019	66510	140	-$7.19	
01/12/2019	66520	140	-$1.89	
01/12/2019	66530	140	-$7.62	
01/12/2019	68050	170	$0.34	
01/12/2019	68060	170	-$46.79	
02/12/2019	61510	150	-$24.28	
02/12/2019	61520	150	-$167.00	
02/12/2019	61530	150	-$13.64	
02/12/2019	61540	150	-$1.01	
02/12/2019	61550	150	-$68.06	
02/12/2019	61560	150	-$1.76	
02/12/2019	61570	150	-$139.73	
02/12/2019	62010	150	-$312.22	
02/12/2019	62020	150	-$265.60	
02/12/2019	62099	150	$20.25	
02/12/2019	62510	120	-$77.64	
02/12/2019	62520	120	-$80.87	
02/12/2019	62530	120	$3.00	
02/12/2019	62550	120	-$17.05	
02/12/2019	62560	120	-$1.60	
02/12/2019	63050	150	-$11.96	
02/12/2019	64000	150	$198.78	
02/12/2019	64010	150	$2.07	
02/12/2019	64020	150	$0.91	
02/12/2019	65540	110	-$79.63	
02/12/2019	65550	110	-$34.25	
02/12/2019	65590	110	-$6.66	
02/12/2019	65600	110	-$13.23	
02/12/2019	65610	110	-$28.96	
02/12/2019	65650	110	-$2.13	
02/12/2019	65690	110	-$34.80	
02/12/2019	65700	110	-$65.98	
02/12/2019	65710	110	-$569.01	
02/12/2019	65730	110	-$0.92	
02/12/2019	65740	110	-$476.80	
02/12/2019	65750	110	-$599.04	
02/12/2019	65760	110	-$6.92	
02/12/2019	66010	130	-$2.23	
02/12/2019	66020	130	-$29.99	
02/12/2019	66040	130	-$8.75	
02/12/2019	66050	130	-$44.98	
02/12/2019	66070	130	-$0.31	
02/12/2019	66080	130	-$2.23	
02/12/2019	66100	130	-$4.87	
02/12/2019	66110	130	-$0.46	
02/12/2019	66120	130	-$1.71	
02/12/2019	66130	130	-$69.42	
02/12/2019	66140	130	$12.56	
02/12/2019	66510	140	-$7.19	
02/12/2019	66520	140	-$1.89	
02/12/2019	66530	140	-$7.62	
02/12/2019	68050	170	$0.34	
02/12/2019	68060	170	-$46.79	
03/12/2019	61510	150	-$24.28	
03/12/2019	61520	150	-$167.00	
03/12/2019	61530	150	-$13.64	
03/12/2019	61540	150	-$1.01	
03/12/2019	61550	150	-$68.06	
03/12/2019	61560	150	-$1.76	
03/12/2019	61570	150	-$139.73	
03/12/2019	62010	150	-$312.22	
03/12/2019	62020	150	-$265.60	
03/12/2019	62099	150	$20.25	
03/12/2019	62510	120	-$77.64	
03/12/2019	62520	120	-$80.87	
03/12/2019	62530	120	$3.00	
03/12/2019	62550	120	-$17.05	
03/12/2019	62560	120	-$1.60	
03/12/2019	63050	150	-$11.96	
03/12/2019	64000	150	$198.78	
03/12/2019	64010	150	$2.07	
03/12/2019	64020	150	$0.91	
03/12/2019	65540	110	-$79.63	
03/12/2019	65550	110	-$34.25	
03/12/2019	65590	110	-$6.66	
03/12/2019	65600	110	-$13.23	
