Papeleria La Grandiosa
Reporte anual de ventas 2018

Fecha	Cuenta	Depto	Suma
01/12/2018	61510	150	-$22.07
01/12/2018	61520	150	-$151.82
01/12/2018	61530	150	-$12.40
01/12/2018	61540	150	-$0.92
01/12/2018	61550	150	-$61.87
01/12/2018	61560	150	-$1.60
01/12/2018	61570	150	-$127.03
01/12/2018	62010	150	-$283.84
01/12/2018	62020	150	-$241.45
01/12/2018	62099	150	$18.41
01/12/2018	62510	120	-$70.58
01/12/2018	62520	120	-$73.52
01/12/2018	62530	120	$2.73
01/12/2018	62550	120	-$15.50
01/12/2018	62560	120	-$1.45
01/12/2018	63050	150	-$10.87
01/12/2018	64000	150	$180.71
01/12/2018	64010	150	$1.88
01/12/2018	64020	150	$0.83
01/12/2018	65540	110	-$72.39
01/12/2018	65550	110	-$31.14
01/12/2018	65590	110	-$6.05
01/12/2018	65600	110	-$12.03
01/12/2018	65610	110	-$26.33
01/12/2018	65650	110	-$1.94
01/12/2018	65690	110	-$31.64
01/12/2018	65700	110	-$59.98
01/12/2018	65710	110	-$517.28
01/12/2018	65730	110	-$0.84
01/12/2018	65740	110	-$433.45
01/12/2018	65750	110	-$544.58
01/12/2018	65760	110	-$6.29
01/12/2018	66010	130	-$2.03
01/12/2018	66020	130	-$27.26
01/12/2018	66040	130	-$7.95
01/12/2018	66050	130	-$40.89
01/12/2018	66070	130	-$0.28
01/12/2018	66080	130	-$2.03
01/12/2018	66100	130	-$4.43
01/12/2018	66110	130	-$0.42
01/12/2018	66120	130	-$1.55
01/12/2018	66130	130	-$63.11
01/12/2018	66140	130	$11.42
01/12/2018	66510	140	-$6.54
01/12/2018	66520	140	-$1.72
01/12/2018	66530	140	-$6.93
01/12/2018	68050	170	$0.31
01/12/2018	68060	170	-$42.54
02/12/2018	61510	150	-$22.07
02/12/2018	61520	150	-$151.82
02/12/2018	61530	150	-$12.40
02/12/2018	61540	150	-$0.92
02/12/2018	61550	150	-$61.87
02/12/2018	61560	150	-$1.60
02/12/2018	61570	150	-$127.03
02/12/2018	62010	150	-$283.84
02/12/2018	62020	150	-$241.45
02/12/2018	62099	150	$18.41
02/12/2018	62510	120	-$70.58
02/12/2018	62520	120	-$73.52
02/12/2018	62530	120	$2.73
02/12/2018	62550	120	-$15.50
02/12/2018	62560	120	-$1.45
02/12/2018	63050	150	-$10.87
02/12/2018	64000	150	$180.71
02/12/2018	64010	150	$1.88
02/12/2018	64020	150	$0.83
02/12/2018	65540	110	-$72.39
02/12/2018	65550	110	-$31.14
02/12/2018	65590	110	-$6.05
02/12/2018	65600	110	-$12.03
02/12/2018	65610	110	-$26.33
02/12/2018	65650	110	-$1.94
02/12/2018	65690	110	-$31.64
02/12/2018	65700	110	-$59.98
02/12/2018	65710	110	-$517.28
02/12/2018	65730	110	-$0.84
02/12/2018	65740	110	-$433.45
02/12/2018	65750	110	-$544.58
02/12/2018	65760	110	-$6.29
02/12/2018	66010	130	-$2.03
02/12/2018	66020	130	-$27.26
02/12/2018	66040	130	-$7.95
02/12/2018	66050	130	-$40.89
02/12/2018	66070	130	-$0.28
02/12/2018	66080	130	-$2.03
02/12/2018	66100	130	-$4.43
02/12/2018	66110	130	-$0.42
02/12/2018	66120	130	-$1.55
02/12/2018	66130	130	-$63.11
02/12/2018	66140	130	$11.42
02/12/2018	66510	140	-$6.54
02/12/2018	66520	140	-$1.72
02/12/2018	66530	140	-$6.93
02/12/2018	68050	170	$0.31
02/12/2018	68060	170	-$42.54
03/12/2018	61510	150	-$22.07
03/12/2018	61520	150	-$151.82
03/12/2018	61530	150	-$12.40
03/12/2018	61540	150	-$0.92
03/12/2018	61550	150	-$61.87
03/12/2018	61560	150	-$1.60
03/12/2018	61570	150	-$127.03
03/12/2018	62010	150	-$283.84
03/12/2018	62020	150	-$241.45
03/12/2018	62099	150	$18.41
03/12/2018	62510	120	-$70.58
03/12/2018	62520	120	-$73.52
03/12/2018	62530	120	$2.73
03/12/2018	62550	120	-$15.50
03/12/2018	62560	120	-$1.45
03/12/2018	63050	150	-$10.87
03/12/2018	64000	150	$180.71
03/12/2018	64010	150	$1.88
03/12/2018	64020	150	$0.83
03/12/2018	65540	110	-$72.39
03/12/2018	65550	110	-$31.14
03/12/2018	65590	110	-$6.05
03/12/2018	65600	110	-$12.03
03/12/2018	65610	110	-$26.33
03/12/2018	65650	110	-$1.94
